,title,author,rating,price(₹),reading_age,page,language,publisher,weight(g),quantity,country,description
76,You Can Win: A Step by Step Tool for Top Achievers,Shiv Khera,4.6,301,14 years and up,314,English,Bloomsbury India; 1st edition (1 January 2014); Bloomsbury Press,386 g,no quantity,no country,The highest-selling inspirational book in India that has sold over 2.7 million copies.
77,The Idiot,Fyodor Dostoevsky,4.3,no price,no reading age,802,English,Golden Quill Classics (11 September 2025),no weight,no quantity,no country,no description
78,"Factor Notes Watercolour Book: A5, 300 GSM Paper, 24 Pages with Perforation, Wiro Bound (Charcoal Arc)",no author,4.4,152,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
79,Princess Colouring Book (Giant Book Series): Jumbo Sized Colouring Books,Wonder House Books,4.5,139, 4 - 7 years,32,English,"Wonder House Books; First Edition (25 April 2018); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265470",250 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
80,"The Book of Rumi: 105 Stories and Fables that Illumine, Delight, and Inform",Rumi,4.4,no price,no reading age,206,English,Amaryllis - an Imprint of Manjul Publishing House (20 May 2019),no weight,no quantity,no country,"""Maryam Mafi's luminous translation brings the Persian poet Rumi's distinctive and timeless Sufi lessons to a new audience, transforming the original verses into prose that conveys the vibrancy of the medieval setting while also sounding fresh. This beautifully produced volume is a welcome introduction to a classic poet's work."" -"
81,"The American Roommate Experiment, Elena Armas",Elena Armas,4.4,305,no reading age,416,English,Simon & Schuster Ltd; 1st edition (6 September 2022); Simon & Schuster Netherlands BV; info@simonandschuster.nl,296 g,500.00 Grams,United Kingdom,Select Guide Rating
82,My First Times Tables Activity Book: Multiplication Made Easy | Ages 6–8 | Build Confidence in Basic Math | 2.5 Hours of Practice,Wonder House Books,4.5,89,no reading age,48,English,"Wonder House Books; First Edition (12 October 2021); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265403",180 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
83,Nirmala (Hindi) - Premchand (Maple Classics),Premchand,4.4,122, 14 years and up,176,Hindi,"Maple Press Pvt Ltd; First Edition (4 August 2015); Maple Press, Noida",190 g,1 Piece,India,no description
84,"SHNMN Sank Magic Practice Copybook, (4 BOOK +1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool",SHNMN,4.2,224, 3 - 5 years,1,English,SHNMN (1 January 2023); SHNMN,232 g,1 Set,India,no description
85,"Disha's 183 New Syllabus Chapter-wise & Topic-wise JEE Main Physics, Chemistry & Mathematics (2025 - 2002) Previous Year Solved Papers 9th Edition | JEE Mains PYQ Books for 2026 | 100% Solutions",Disha Experts,4.5,"1,499",15 years and up,2020,English,AIETS.COM PVT. LTD.; 12th edition (7 April 2025); 7982902794,3 kg 670 g,no quantity,India,"Disha Experts is a team of the most prolific Subject Matter Experts, Researchers & Content Writers pioneering in Test Prep segments (Competitive, Government Job & School Exams). They have been at the forefront of setting standards of excellence in designing study material that caters to the rapidly-changing needs of aspirants all over India. The team consists of more than 30 experts comprising of PhDs, B-Techs, PGs, etc., working full-time with decades of experience in various academic and competitive exam verticals. They possess in-depth knowledge of their specific fields with an analytical understanding of the exam trends & patterns. Disha Experts has emerged as a think tank in the School and Test Prep segments providing the most accurate, highly updated (latest pattern, syllabus & information), to-the-point, relevant and student-friendly (in terms of presentation) content so that the aspirants can achieve sure success. The expertise and hard work of Disha Experts have brought Disha Publication the honour of being awarded ‘Best Exam Prep Company of the Year 2022’ (BW). Disha Publication has also secured Second position in the ‘Education’ category and Third position in the ‘Test Prep’ category of publishers at the PVLF People’s Choice Publisher Awards 2023 supported by the Federation of Indian Publishers (FIP) and powered by Nielsen Book Data."
86,Ayurvediya Garbh Sanskar (Marathi),Shree Balaji Tambe,4.5,714,no reading age,226,Marathi,Sakal Prakashan; Forty Nine edition (1 January 2015); Sakal,450 g,1 Count,India,"About the Author: Dr. Balaji Tambe is renowned for his expertise in the field of Ayurvedic medicine, music therapies and Yoga. He founded the Atmasantulana village in 1982, which is now one among the largest healing centers which follow the Ayurvedic theory. The EXPO 2000 selected the Vedic Community Health Concept developed by Tambe to be tagged as the millennium's ideal health vision in Hanover, Germany."
87,Warren Buffett's Management Secrets (Marathi),Mary Buffett and David Clark,4.2,207,18 years and up,136,Marathi,"Manjul Publishing House; First Edition (25 May 2023); Manjul Publishing House Pvt. Ltd., 2nd Floor, Usha Preet Complex, 42 Malviya Nagar, Bhopal - 462003 - India",110 g,1 Count,India,"मेरी बफे या प्रसिद्ध गुंतवणूकदार वॉरेन बफे यांच्या गुंतवणूक तंत्रावर भाष्य करणाऱ्या आंतरराष्ट्रीय ख्यातीच्या लेखिका आणि वक्त्या आहेत. त्या मल्टिमिलियन डॉलर्सच्या एका ‘फिल्म एडिटिंग' कंपनीच्या मुख्य कार्यकारी अधिकारीदेखील आहेत.

डेव्हिड क्लार्क हे एक अनुभवी ‘पोर्टफोलिओ' व्यवस्थापक आणि बफे कुटुंबाचे स्नेही आहेत. वॉरेन बफे यांच्या गुंतवणूक तंत्राचे प्रख्यात जाणकार म्हणून ते ओळखले जातात."
88,"Brahmacharya : Kab, Kyon aur Kaise? / ब्रह्मचर्य : कब, क्यों और कैसे? /Premanand ji Maharaj/ Bhajan Marg",Shri Hit Premanand Govind Sharan Ji Maharaj,4.9,299,15 years and up,244,no language,Shri Hit Radha Keli Kunj Trust; First Edition (6 October 2025); info@bhajanmargpublications.com,316 g,1.00 Count,India,no description
89,101 Copy Coloring: Fun Activity Book For Children (Ages 3-6) I Screen Free time of 3 hours,Wonder House Books,4.4,180, 3 - 6 years,96,English,"Wonder House Books; First Edition (20 September 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265611",280 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
90,Read People Like A Book Marathi | रीड पीपल लाईक ए बुक | By Patrick King | पेट्रिक किंग | Motivational Books in Marathi | Self Help Book to Read | ... ऑफ क्रिएटिव्ह लिव्हिंग i hardcover paperback,Patrick King,no rating,200,no reading age,176,Marathi,"Saket Prakashan (26 September 2025); 115, Mahatma Gandhi Nagar, Station Road, Chh. Sambhaji Nagar 431005, Maharashtra, India, 7517745605",168 g,no quantity,no country,no description
91,CRACK MAHARASHTRA DRUG INSPECTOR EXAM IN 30 DAYS (MPSC Drug Inspector Exam -2025)THEORY+OBJECTIVE FULLY COLOURED BOOK,Dr. Peeyush Jaiswal,4.8,525,no reading age,604,no language,GDC PUBLICATION; First Edition (31 August 2025),800 g,no quantity,India,no description
92,"500+ Ultimate Stickers Activity Book for Kids Age 2+| Sticker Matching Book with Colorful Stickers | Animals, Food, Solar System, Birds, Vehicles, Fruits, Toys, Circus & More for Pre-School Kids [Paperback] PW",Physics Wallah,4.1,290, 3 - 5 years,48,English,Physics Wallah (3 June 2025); Physics Wallah (PW),100 g,1 Count,India,no description
93,"Disha Layerss of Learning - Help Book for students | Strategies, Brain Hacks & Study Systems for Fast, Deep & Stress-free learning | Book by Nikita Singhal",Nikita Singhal,4.3,267,14 years and up,228,English,AIETS.COM PVT. LTD.; 1st edition (18 June 2025); AIETS.COM PVT. LTD.,210 g,no quantity,India,no description
94,Kalakari: A Journey Through Indian Folk Art (Mindful Adult Colouring Book),Simran Tapadia,4.2,273,no reading age,64,English,Pan Macmillan India (3 July 2025),100 g,500.00 Grams,no country,no description
95,The Hachette Book of Indian Crime Fiction: Twenty-first Century Crime Fiction in English,Tarun K. Saint,4.2,559,no reading age,304,English,HACHETTE INDIA (19 September 2025),300 g,no quantity,India,no description
96,"Amazon Basics Watercolour Book | A5 Size 24 Perforated Pages | 300 GSM, Bleed-Free Paper | Wiro Bound, Lay-Flat Design | Ideal for Watercolour, Acrylic, Mixed Media & More",no author,4.2,189,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
97,Eynt Ace Math In One Big Fat Notebk,Workman Publishing Company,4.6,781,11 - 14 years,518,English,Workman Pub Co; Study Guide edition (9 August 2016),699 g,1.0 Count,United Kingdom,no description
98,"MoonlitDreams Plastic Study Lamp for Students, Reading Light, Night Lamp for Study, Book Reading Light with Clip, Book Lamp, 3 Modes, Portable, Eye Caring - LED, White",no author,4.3,279,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
99,The Hachette Book of Indian Crime Fiction: Twenty-first Century Crime Fiction in English,Tarun K. Saint,4.2,559,no reading age,304,English,HACHETTE INDIA (19 September 2025),300 g,no quantity,India,no description
100,Anupam Earth Sketche Drawing Book A5 | 100% Recycled Hardbound Cove Book | 140 GSM | Acid Free 65 Sheets / 128 Pages | Drawing Sketchbook for Artists and Students | for Dry Techniques,no author,4.3,135,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
101,"BPSC TRE 4.0/STET Computer Science Practice Book (Part-II), [Bilingual Hindi & English] by Shubham Sir",Shubham Swarnkar,4.1,213,16 years and up,384,Hindi,Pindel Readers Publication; First Edition (29 July 2025),650 g,1 Count,India,no description
102,My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4,162, 2 - 4 years,32,English,"Wonder House Books; First Edition (25 November 2018); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265546",195 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
103,MTG International Mathematics Olympiad (IMO) Workbook Class 3 - Chapterwise Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam,MAHABIR SINGH,4.4,100,no reading age,80,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",120 g,120 Count,India,no description
104,101 Pencil Control Activity Book For Kids: Tracing Practise Book | Age 2+ and up | 4 hours of writing activities,Wonder House Books,4.4,165, 3 - 4 years,112,English,"Wonder House Books (28 February 2022); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265358",340 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
105,"VITALHERB Read People Like A Book Paperback English 2023 A, New Page",Patrick King,no rating,445,no reading age,544,no language,VITALHERB (7 August 2025); VITALHERB,no weight,1.0 Count,India,no description
106,"Amazon Basics Artists Sketch Book | A5 Size, 160 Pages | 100 GSM Acid-Free Paper | Durable Hardcover with Elastic Strap | Ideal for Sketching, Drawing, Shading, Mandala, Fine Art & Professional Use",no author,4.4,229,no reading age,no page,no language,no publisher,no weight,no quantity,no country,no description
107,"Arihant Guide to Hotel Management Entrance Exam 2026 | NCHMCT JEE Preparation Book with 3000+ MCQs, Solved Papers, Crack Sets & Sectional Tests | English Medium",Pradeep Srivastava,4.6,628,no reading age,882,English,"ARIHANT PUBLICATIONS INDIA LIMITED (18 June 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",1 kg 410 g,1 Count,India,no description
108,Delhi Police Constable Computer Updated Book (2025) By Ankit Bhati Sir (RWA),ANKIT BHATI,3.7,149,16 years and up,237,Hindi,ROJGAR PUBLICATION; 1st edition (18 March 2025),350 g,1.0 Count,no country,no description
109,Angreji Padhne Ka Ramban Trick | English Reading Spelling Book | Phonics Book | Pronunciation Book | Spelling Rules by Sanjeev Kijani and Preeti ma'am,no author,4.2,494,no reading age,308,Hindi,no publisher,665 g,no quantity,India,no description
110,BRAHMASTRA Complete Maths Multicolored Formula Book | Hindi Medium | 3rd Edition | By Aditya Ranjan,Aditya Ranjan Sir,4.4,no price,14 years and up,304,Hindi,Aditya Ranjan Publication; 2026-2027 edition (17 September 2025); Aditya Ranjan Publication,450 g,no quantity,no country,no description
111,"Arihant All in One Science Class 8 Book 2025 Edition | NCERT Based Complete Study Guide with Mind Map, Competency Based Questions, Chapterwise Exercises and Sample Question Papers",Priyasha Gupta,5.0,219,no reading age,259,English,"ARIHANT PUBLICATIONS INDIA LIMITED (16 August 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",414 g,1 Count,India,no description
112,"Arihant Guide to Hotel Management Entrance Exam 2026 | NCHMCT JEE Preparation Book with 3000+ MCQs, Solved Papers, Crack Sets & Sectional Tests | English Medium",Pradeep Srivastava,4.6,628,no reading age,882,English,"ARIHANT PUBLICATIONS INDIA LIMITED (18 June 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",1 kg 410 g,1 Count,India,no description
113,"UP Police Sub-Inspector Practice Sets Book, 30 Sets + 2 Solved Papers, Hindi Medium, 2025-26 Edition",Ankit Bhati,4.6,239,16 years and up,310,Hindi,Rojgar Publication; 2025-26 Edition (30 June 2025),250 g,no quantity,no country,no description
114,MTG International Mathematics Olympiad (IMO) Workbook Class 3 - Chapterwise Previous Year Solved Paper & Achievers Section - SOF Olympiad Books For 2025-26 Exam,MAHABIR SINGH,4.4,100,no reading age,80,English,"MTG Learning Media Pvt. ltd. (2 April 2025); MTG Learning Media Pvt. Ltd., Plot No. 99, Sector-44 Gurgaon-122003",120 g,120 Count,India,no description
115,Nursery Rhymes Book - Board Book for Kids | Premium Quality Classic Rhymes Book for Toddlers & Preschoolers | Early Learning Activity Book | Ages: 2 - 6 Years | Two Brothers Publications,Two Brothers Publications,4.9,185,1 - 4 years,26,English,TWO BROTHERS PUBLICATIONS PVT. LTD.; Kids Edition (8 October 2024),200 g,1 Count,India,no description
116,"Arihant All in One Science Class 8 Book 2025 Edition | NCERT Based Complete Study Guide with Mind Map, Competency Based Questions, Chapterwise Exercises and Sample Question Papers",Priyasha Gupta,5.0,219,no reading age,259,English,"ARIHANT PUBLICATIONS INDIA LIMITED (16 August 2025); Arihant Publications, 4577/15, Daryaganj, New Delhi, Delhi 110002, Contact Us: 0-1140546380, Email - Crm@arihantbooks.com",414 g,1 Count,India,no description
117,"201 Amazing Activity Book: Fun Activities and Puzzles | Spot the Difference, Logical Reasoning, Patterns & Tracing | Ages 6–10 | 5+ Hours of Fun and Learning",Wonder House Books,4.4,113, 4 - 7 years,48,English,"Wonder House Books; Standard Edition (31 August 2022); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265420",146 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
118,Delhi Police Constable Computer Updated Book (2025) By Ankit Bhati Sir (RWA),ANKIT BHATI,3.7,149,16 years and up,237,Hindi,ROJGAR PUBLICATION; 1st edition (18 March 2025),350 g,1.0 Count,no country,no description
119,"COVALENT – Organic Chemistry Book | JEE Main & Advanced | Clears Basics, Visual Shortcuts, Mechanisms, Name Reactions | For NEET UG, Boards & State Exams",Ransho Revision,4.5,299,15 years and up,120,no language,"Rancho Chemistry; First Edition (23 June 2025); Rancho Chemistry, 1st Floor, YMCA building, sector 11-C, Chandigarh - 160011",250 g,no quantity,no country,no description
120,Family Wisdom,Robin Sharma,4.4,247,no reading age,216,English,Jaico Publishing House; First Edition (28 December 2003),272 g,no quantity,India,no description
121,"Maths Concept King (English Medium) Formula Book | All Formulas And Theorem | Smart Tricks | Arithmetic & Advance Maths | Edition 2025 | SSC CGL, CPO, CHSL, MTS, CDS, UPSC |All Other Competitive Exams",Gagan Pratap Sir,4.6,220,16 years and up,272,English,Champion Publication; Champion Publication edition (20 August 2025); Champion Publication,500 g,1 Count,India,no description
122,The Art of Letting Go: A Guide to Emotional Healing and Inner Peace,NeuroText Books,4.5,no price,no reading age,174,English,no publisher,no weight,no quantity,no country,no description
123,101 Crayon Coloring: Fun Activity Book for Children | Spark Creativity & Motor Skills | Ages 3–6 | Hours of Colorful Learning and Play,Wonder House Books,4.5,179, 3 - 5 years,96,English,"Wonder House Books; First Edition (20 September 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265358",290 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
124,"201 English Activity Book: Fun Activities and Grammar Exercises | Alphabet & Words, Rhyming & Opposites | Ages 5–9 | 4+ Hours of Interactive Learning",Wonder House Books,4.4,89, 5 - 6 years,48,English,"Wonder House Books; Standard Edition (31 August 2022); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265422",146 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
125,"Blue Book Series Booster English Book by Prateek Shivalik | 2500+ Topic Wise Questions | Latest MCQs For DSSSB, CTET, UPTET, KVS, PGT, PRT, TGT & All Teaching Exams 2025 (English)",Prateek Shivalik,no rating,329,18 years and up,212,English,Agrawal Examcart (Agrawal Group Of Publications); Latest edition (22 September 2025),490 g,1.0 Count,no country,no description
126,AIBE Exam Book 2025 | Previous Year AIBE Solved Paper (2011 to 2024) | Best Seller AIBE Exam Guide for AIBE All India Bar Examination & all Law Entrance Exams in India | Topic Wise & Chapter Wise AIBE Question Bank with Detailed Solutions | IFAS Publications,IFAS Publications,4.8,373,16 years and up,430,English,IFAS Publications; Special Edition (10 July 2025),750 g,1 Count,India,no description
127,101 Spot the Differences: Fun Activity Book for Children | Improve Observation & Concentration | Ages 5–9 | 3+ Hours of Engaging Puzzles,Wonder House Books,4.6,189, 4 - 6 years,112,English,"Wonder House Books; First Edition (23 October 2019); Prakash Books India Pvt Ltd, 113A, Ansari Road, Daryaganj, New Delhi-110002, +9111-23265655",285 g,1 Count,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
128,"BOOKFORD Learn to Draw & Copy Coloring Books for Kids - (Set of 4) Drawing & Activity Books with Fun, Easy Sketches to Trace, Color & Learn | Ideal for Toddlers, Preschoolers & Kids Ages 3-8",BOOKFORD PUBLICATIONS PRIVATE LIMITED,4.4,252,3 - 12 years,64,English,no publisher,390 g,1.0 Count,India,no description
129,InIkao Story Books for kids in Tamil | 101 Illustrated Moral Tales | Pack of 10 Bedtime Stories Book Collection for Children Age 4+,Inikao,4.3,203, 1 - 8 years,160,"Tamil, Tamil, Tamil, Tamil, Tamil","e c axus; First Edition (1 January 2017); InIkao Foundations, 2/206-6 Pa Ma Garden, Thiruvengadam Nagar, Peria Vallikulam, Virudhunagar - 626001",450 g,1 Pack,India,"Books are good with good stories.. only concern is paper quality, can be improved.Thankyou. Review by : Karthikeyan S. 27-07-2020"
130,AIBE Exam Book 2025 | Previous Year AIBE Solved Paper (2011 to 2024) | Best Seller AIBE Exam Guide for AIBE All India Bar Examination & all Law Entrance Exams in India | Topic Wise & Chapter Wise AIBE Question Bank with Detailed Solutions | IFAS Publications,IFAS Publications,4.8,373,16 years and up,430,English,IFAS Publications; Special Edition (10 July 2025),750 g,1 Count,India,no description
131,InIkao Tamil Writing Practice Books for Kids | Set of 5 Handwriting Improvement Book for Children age 4+ years,Inikao,4.4,203, 4 - 6 years,160,"Tamil, Tamil, Tamil, Tamil, Tamil","InIkao Foundations; 9th edition (1 January 2015); InIkao Foundations, 2/206-6 Pa Ma Garden, Thiruvengadam Nagar, Peria Vallikulam, Virudhunagar - 626001",450 g,1 Pack,India,Excellent set of books to practice writing tamil letters. One can become proficient in writing after going thru the exercise writing in these books. Review by Siva 19-11-2022
132,How to Draw: 101 Fun Things | Step-by-Step Drawing Activity Book for Kids | Ages 5+ | Boost Creativity & Confidence Through Art,Wonder House Books,4.2,208,5 years and up,96,English,Wonder House Books (28 February 2025); Wonder House Books,245 g,no quantity,India,"Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
133,"SURA'S TNEB TNPDCL Field Assistant Paper 1 & 2 Exam Book Guide in Tamil Medium 2026, Latest Edition",V.V.K SUBBURAJ,1.0,550,15 years and up,500,no language,SURA COLLEGE OF COMPETITION; Latest Edition (4 September 2025),490 g,1 Pack,no country,no description
134,"सफलता के 24 अध्याय (24 Chapters of Success) by Sonu Sharma | Hindi Self Help & Motivation Book on Success, Mindset, Habits, Wealth, Leadership, Health & Personal Growth",Sonu sharma,4.9,338,13 years and up,356,Hindi,AIETS.COM PVT. LTD.; 1st edition (12 September 2025); 7982902794,380 g,no quantity,India,no description
135,"SSC GD 2026 Exam Guide Book Set, Bengali Medium,( Hindi, Yellow Gk, Reasoning ,Maths)By Ankit Bhati Sir Rwa For SSF NIA CISF SSB CRPF ITBP BSF AR Preparation",Ankit Bhati,4.0,490,16 years and up,948,Bengali,Rojgar Publication; 2025-26 Edition (9 August 2025),1 kg 250 g,4 Set,India,no description
136,TERMS AND CONDITIONS,Lauren Asher,4.4,361,no reading age,496,English,Piatkus; 2022nd edition (15 April 2022),340 g,500.00 Grams,United Kingdom,The second book in Lauren Asher's hot and sexy Dreamland Billionaires:
137,Poetry book I Live In My Notepad,Sakshi Shrivastava,no rating,200,15 years and up,69,no language,Writer's Pocket (8 October 2025),200 g,no quantity,India,no description
138,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did): The million-copy selling parenting book from the Sunday Times bestselling psychotherapist,Philippa Perry,4.4,no price,no reading age,240,English,Penguin; 2nd edition (7 March 2019),no weight,no quantity,no country,no description
139,The Art of Not Overthinking + The Art of Being Alone | Self-Help Books Combo | Believe & Heal,no author,no rating,269,no reading age,544,no language,no publisher,no weight,no quantity,no country,no description
140,Your Infinite Power To Be Rich (Tamil),Dr. Joseph Murphy,4.4,205,no reading age,228,Tamil,"Manjul Publishing House; First Edition (1 May 2012); Manjul Publishing House Pvt. Ltd., 2nd Floor, Usha Preet Complex, 42 Malviya Nagar, Bhopal - 462003 - India",200 g,1 Count,India,"டாக்டர் ஜோஸப் மர்ஃபி (1898-1981) ஆழ்மனம் இயங்கும் விதம் குறித்து மிகத் தெளிவாகப் புரிந்து வைத்திருந்த ஒரு மேதையாக இன்றும் உலகம் முழுவதிலும் மதிக்கப்பட்டு வருகிறார். கோடிக்கணக்கான பிரதிகள் விற்றுள்ள 'ஆழ்மனத்தின் அற்புத சக்தி' என்னும் புத்தகம் உட்பட எண்ணற்றப் புத்தகங்களை அவர் எழுதியுள்ளார். பொருளாதார, சமூக, மற்றும் ஆன்மீகத் தளங்களில் சுயமாக முன்னேற விரும்பிய கோடிக்கணக்கான சாமானிய மக்களுக்கு, எளிய நடைமுறை உத்திகளின் மூலம், ஆழ்மனத்தின் வியத்தகு சக்தியை எப்படிப் பயன்படுத்துவது என்பதை அவர் சொற்பொழிவுகள் வாயிலாகவும், தன் புத்தகங்களின் மூலமாகவும் கற்றுக் கொடுத்தார்."
141,"Ramayana Book for Kids - Illustrated Stories for Children - Epic Stories - Bedtime Stories - Age 2+ Years - Read Aloud to Infants, Toddlers - Hardbound Book",Maple Press,4.9,149,no reading age,80,English,"Maple Press Pvt Ltd (9 July 2025); Maple Press, Noida",200 g,no quantity,India,no description
142,Shikshak Abhiyogyata (TET-1 I TET-II I TAT(S) I TAT (HS) I HTAT I HMAT I AEI I CRC-BRC - Latest July 2025 ***Websankul Original Book - વેબસંકુલનું ઓરીજીનલ પુસ્તક*,Vikas Patel,5.0,300,10 years and up,300,no language,Books; August 2025 edition (28 August 2025),400 g,no quantity,India,no description
143,Mass Study 60 Days Practice Book + Mass Spoken English Book (Combo) by Kamlesh Yadav Sir,Kamlesh Yadav Sir,3.3,488,12 years and up,620,English,Mass Study English; First Edition (13 May 2025); Mass Study English,400 g,2 Count,India,no description
144,"Ramayana Book for Kids - Illustrated Stories for Children - Epic Stories - Bedtime Stories - Age 2+ Years - Read Aloud to Infants, Toddlers - Hardbound Book",Maple Press,4.9,149,no reading age,80,English,"Maple Press Pvt Ltd (9 July 2025); Maple Press, Noida",200 g,no quantity,India,no description
145,1'o Clock book for Class 9th Science and Social Science (set of 2) CBSE 2026 | AI images | Tables | Flowcharts | Handmade Diagrams and maps | Easy ... on CBSE pattern | App for Question Practice,KRITI SHARMA,4.8,499,no reading age,256,no language,"Rancho Chemistry; First Edition (19 August 2025); 1st Floor, YMCA building, sector 11-C, Chandigarh",500 g,no quantity,no country,no description
146,Story Books For Kids (Set of 10 Books) | Best Selling Moral Story Book for Kids in India | Premium Quality Gift - Bed Time Story Books | Two Brothers Publications,Two Brothers Publications,5.0,245,6 - 12 years,160,English,TWO BROTHERS PUBLICATIONS PVT. LTD.; Kids Edition (8 October 2024),370 g,10 Count,India,no description
147,"Delhi Police Driver Exam Guide Book 2025, Hindi Edition, MCQ and PYQ with Practice Sets",Mohan Saini,5.0,226,16 years and up,244,Hindi,Last Exam Publication; 2025-26 Edition (22 June 2025); Last Exam Publication,1 kg 200 g,no quantity,India,no description
148,"PW Kids First Library Box Set of 10 Board Books l Gift Set for Children Ages 1, 2, 3, 4, 5 Years",PW,4.5,350, 1 - 3 years,220,no language,PW; Kids Edition (18 March 2024); PW,220 g,10 Set,India,no description
149,"Samundramanthan of Vocabulary (Vocab) Book 2025 - 2026 for All Competitive Exams SSC CGL CHSL MTS CPO STENO, Banking Exam, Bank PO/ Clerk, NDA, CDS, AFCAT, CUET, CLAT, CAT, MBA, UPSC | 10000+ Questions | Samundra Manthan By Rani Singh Mam | English Grammar | Root Words, Idioms and Phrases, One Word Substitution, Verbs Synonyms and Antonyms (For Everyone - Beginners & Advanced Learner) - S Chand Books",Rani Singh,4.7,365,15 years and up,576,English,"S Chand and Company Ltd; Latest Edition 2025 - 2026 (1 August 2025); S Chand and Company Ltd, 40/2A Site IV, Sahibabad Industrial Area, Ghaziabad, U.P - 201010, Contact 18001031926, Email id: info@schandpublishing.com",466 g,no quantity,no country,no description
150,The Fifth Mountain,Paulo Coelho,4.4,267,no reading age,256,English,Harper; New edition (17 October 2005),294 g,500.00 Grams,no country,no description
151,"Story Books for Kids - Baby Animal Stories (Set of 4 Books) (Illustrated) - Board Book - Bedtime Stories - Age 2+ Years - Read Aloud to Infants, Toddlers - Hardbound Book",Maple Press,4.6,244,no reading age,48,English,"Maple Press Pvt Ltd (9 July 2025); Maple Press, Noida",400 g,no quantity,India,no description
