,brand,model_name,screen_size(inches),price(₹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
202,Arctic Fox,no model_name,no screen_size,549,no ram,no storage,no cpu_model,"Compatible with Windows 8/10/11, Mac OS, iOS 13 and above, android",no rating,"6,006 ratings",no graphics_card_description
203,Microsoft,Surface Laptop,13.8 Inches,"1,29,990",16 GB,512 GB,Snapdragon,Windows 11 Home,no rating,3 ratings,Integrated
204,Amkette,no model_name,no screen_size,799,no ram,no storage,no cpu_model,no operating_system,no rating,"7,159 ratings",no graphics_card_description
205,ZEBRONICS,no model_name,no screen_size,319,no ram,no storage,no cpu_model,"Linux, Windows 8",no rating,"5,070 ratings",no graphics_card_description
206,ZEBRONICS,no model_name,no screen_size,299,no ram,no storage,no cpu_model,Mac OS,3.7,95 ratings,no graphics_card_description
207,Dyazo,no model_name,no screen_size,245,no ram,no storage,no cpu_model,no operating_system,no rating,"2,329 ratings",no graphics_card_description
208,Lenovo,IdeaPad Slim 3,no screen_size,"59,990",16 GB,no storage,Others,Windows 11 Home,no rating,249 ratings,Integrated
209,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",no rating,30 ratings,Integrated
210,ASUS,ASUS TUF Gaming A15,15.6 Inches,"64,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.5,7 ratings,Dedicated
211,Portronics,no model_name,no screen_size,269,no ram,no storage,no cpu_model,no operating_system,no rating,"1,071 ratings",no graphics_card_description
212,no brand,no model_name,no screen_size,328,no ram,no storage,no cpu_model,no operating_system,no rating,679 ratings,no graphics_card_description
213,Dyazo,no model_name,no screen_size,899,no ram,no storage,no cpu_model,no operating_system,no rating,85 ratings,no graphics_card_description
214,Dell,Inspiron,15.6 Inches,"66,990",16 GB,512 GB,Core i7,Windows 11 Home,no rating,87 ratings,Integrated
215,Google,Pixelbook Go,13.3 Inches,"64,990",128 GB,128 GB,Core i5-8200Y,Chrome OS,no rating,349 ratings,Integrated
216,Portronics,no model_name,no screen_size,499,no ram,no storage,no cpu_model,"Linux, Windows 7, Windows XP",no rating,"5,759 ratings",no graphics_card_description
217,no brand,no model_name,no screen_size,309,no ram,no storage,no cpu_model,no operating_system,no rating,474 ratings,no graphics_card_description
218,HP,HP Laptop,40.6 Centimetres,"69,990",16 GB,1 TB,Snapdragon X,Windows 11 Home,no rating,no rating_review,Integrated
219,Lenovo,IdeaPad Slim 3,15.6,"50,990",16 GB,512 GB,Intel Core 5,Windows 11 Home,no rating,8 ratings,Integrated
